Word,Score
accurate,0.004025766061185341
scanning,0.005776269118261704
easy,0.00832075933743007
see,0.004483084079903597
reach,0.003946363795478631
card,0.0929971317417345
convenient,0.006872886030392522
likely,0.003797030385639945
carried,0.008582383664486095
combine,0.02155980217990319
session,0.003946363795478631
library,0.021971470866719914
bloomsbury,0.015651837821105904
fitness,0.007825918910552952
club,0.008582383664486095
society,0.0050902154239980514
compatible,0.009889613620009315
many,0.015651837821105904
feature,0.006804668176224475
dont,0.008582383664486095
want,0.0027735864458100236
become,0.008582383664486095
valuable,0.00540188349239948
change,0.007282214262598372
locker,0.008582383664486095
key,0.002902304489628963
include,0.015436505710259492
name,0.003593300363317198
photo,0.017988040763309645
upi,0.027491544121570087
design,0.0037934280063747655
typeuser,0.008582383664486095
status,0.0023655842052039983
payroll,0.008582383664486095
number,0.0036911930280609053
job,0.004286515953676308
title,0.003468876157162959
expiry,0.006872886030392522
date,0.003641107131299186
department,0.006819287022107335
student,0.015718646501510215
easier,0.006872886030392522
reading,0.003797030385639945
barcode,0.019598201616584536
scanner,0.006532733872194846
easily,0.002902304489628963
copied,0.008582383664486095
prevent,0.003530051199743166
sharing,0.004483084079903597
pin,0.006532733872194846
multiple,0.0023001153249590915
security,0.004291679471391641
last,0.020618658091177564
year,0.009569697124636468
must,0.021867595878383966
stop,0.003946363795478631
end,0.0038456154764297643
day,0.008446540247049801
service,0.0045364454508163175
work,0.0022682227254081587
control,0.017785046420046823
access,0.029301433821598895
kathleen,0.008582383664486095
lonsdale,0.008582383664486095
departmental,0.006872886030392522
office,0.007060102399486332
private,0.0037266193259704538
high,0.0020875327515463716
hazard,0.00540188349239948
area,0.002692457505623944
computer,0.004473732322770119
cluster,0.0052395488338367385
room,0.003946363795478631
exam,0.006532733872194846
venue,0.007825918910552952
enable,0.004936615340195412
visual,0.007060102399486332
check,0.002692457505623944
checking,0.0050902154239980514
cardholder,0.007825918910552952
role,0.006178054720142189
movement,0.01344925223971079
tracking,0.007892727590957263
building,0.004823236238101273
trackinglogs,0.015651837821105904
alumnus,0.008582383664486095
use,0.003400291753920189
mark,0.003593300363317198
attendance,0.007825918910552952
clocking,0.006872886030392522
clear,0.0028155134156832673
policy,0.003468876157162959
install,0.004589722911694545
new,0.0018709801932389946
reader,0.010590153599229497
fast,0.0036587692435621055
production,0.0036587692435621055
issue,0.0023325626061379517
point,0.002433434287612347
staff,0.010406628471488877
distance,0.004951954281920213
arrangement,0.0052395488338367385
preparation,0.0050902154239980514
appointment,0.006872886030392522
system,0.012521754156283354
reduce,0.0036587692435621055
queuing,0.00624513932027832
time,0.006707878134716818
ucl,0.007289198626127988
shop,0.007289198626127988
handle,0.0028155134156832673
lost,0.006872886030392522
view,0.004232916945391121
modify,0.002503845347281838
right,0.005986661830636403
online,0.0030890273600710943
without,0.015651837821105904
present,0.0023992008199478013
activate,0.003946363795478631
inactivate,0.008582383664486095
rolebased,0.008582383664486095
method,0.002692457505623944
grant,0.004025766061185341
close,0.003352233700108232
real,0.0027735864458100236
update,0.0019492716094685323
reminder,0.006532733872194846
longer,0.008582383664486095
require,0.001820553565649593
mrm,0.008582383664486095
smart,0.011159401984068831
cheap,0.007825918910552952
item,0.0026531787571205247
reusablerecyclable,0.008582383664486095
management,0.011695629656811193
map,0.0036587692435621055
user,0.0018455965140304527
identity,0.004589722911694545
including,0.008582383664486095
group,0.0021756911188048522
membership,0.00624513932027832
portico,0.008582383664486095
interface,0.003641107131299186
directly,0.0028584043078935264
unique,0.002732581022827234
data,0.01922807738214882
duplicated,0.007825918910552952
export,0.012077298183556021
leaver,0.008582383664486095
import,0.008217396908082748
registry,0.006532733872194846
able,0.0020590486617501247
updatedelete,0.008582383664486095
enter,0.0025770183195827356
authorised,0.005776269118261704
firewall,0.005996013587769881
limitation,0.004286515953676308
ensure,0.002614709937712436
secure,0.006277563104777119
storage,0.0028155134156832673
bank,0.005776269118261704
photocopy,0.007825918910552952
used,0.008582383664486095
cashless,0.008582383664486095
vending,0.008582383664486095
oyster,0.008582383664486095
thumb,0.007825918910552952
minimum,0.0026531787571205247
support,0.0018709801932389946
virtual,0.008217396908082748
machine,0.006593075746672877
environment,0.0023001153249590915
printer,0.009646472476202546
software,0.005536789542091357
business,0.0029933309153182017
rule,0.0028155134156832673
document,0.006800583507840378
requirement,0.003400291753920189
documented,0.007825918910552952
process,0.001820553565649593
dependent,0.003530051199743166
technical,0.005306357514241049
quality,0.002732581022827234
budget,0.0050902154239980514
development,0.0022368661613850595
maintenance,0.002732581022827234
failure,0.006178054720142189
restrict,0.003593300363317198
safe,0.004286515953676308
case,0.002206027911476084
power,0.003530051199743166
architecture,0.0029933309153182017
standard,0.0060100585049349935
health,0.004702828549411775
safety,0.003352233700108232
legislation,0.006872886030392522
existing,0.004025766061185341
technology,0.008446540247049801
approach,0.0029472626082466128
constrained,0.007825918910552952
solution,0.0032424566478266395
antivirus,0.006872886030392522
reliable,0.004483084079903597
people,0.003352233700108232
open,0.002503845347281838
door,0.00624513932027832
continue,0.0031387815523885596
operation,0.0022682227254081587
network,0.0023992008199478013
server,0.002692457505623944
run,0.002468307670097706
environme,0.008582383664486095
working,0.003530051199743166
interruption,0.0050902154239980514
backup,0.0034096435110536677
switch,0.0038702033579408428
standby,0.005776269118261704
event,0.002902304489628963
hardware,0.0023325626061379517
fail,0.0034096435110536677
cabling,0.007289198626127988
landswitch,0.008582383664486095
